TV_product_grouped;TV_technology;TV_hbonordic;CZ_group5_name;CZ_employment;CZ_car;CZ_children;CZ_civilstate;CZ_home;CZ_owner;CZ_wealth;CZ_household_income;CZ_age;CZ_education;Failures;Failures_SLA_insufficient;TV_flow_consump;TV_flow_consump_cat_children;TV_flow_consump_cat_documentary;TV_flow_consump_cat_movies;TV_flow_consump_cat_leisure;TV_flow_consump_cat_art;TV_flow_consump_cat_music;TV_flow_consump_cat_news;TV_flow_consump_cat_politics;TV_flow_consump_cat_series;TV_flow_consump_cat_show;TV_flow_consump_cat_sports;TV_flow_consump_cat_other;OTT_SVOD_consump;OTT_TVOD_consump;Household_municipality
Fuldpakke;Fiber;0;Velhavere;10;7;10;9;7;9;10;10;6;10;0;0;27;3;2;5;0;0;0;8;2;0;0;1;3;NULL;NULL;København
Fuldpakke;Fiber;1;Velhavere;10;6;8;9;7;9;10;10;7;10;0;0;102;0;5;33;2;6;7;23;8;1;5;7;0;13;0;Frederiksberg
Fuldpakke;Fiber;1;Velfunderede husejere;9;6;9;9;9;7;8;9;6;8;0;0;468;174;29;51;1;17;0;33;18;53;37;44;7;NULL;NULL;Ballerup
Fuldpakke;Fiber;0;Velfunderede husejere;8;7;8;9;10;9;9;9;7;8;0;0;57;4;0;0;0;28;0;14;3;0;3;3;0;NULL;NULL;Brøndby
Grundpakke;Fiber;0;Urban mangfoldighed;9;5;7;4;4;2;6;7;8;9;0;0;443;23;1;48;1;20;0;39;8;105;167;28;0;NULL;NULL;Gentofte
Fuldpakke;Fiber;0;Velfunderede husejere;9;9;10;6;5;9;10;10;6;9;0;0;178;0;6;8;6;44;5;31;3;6;8;57;0;NULL;NULL;Gentofte
Grundpakke;Fiber;0;Velhavere;9;9;10;6;5;9;10;10;6;9;0;0;223;0;14;32;3;30;1;35;4;17;15;68;2;2;3;Gentofte
Fuldpakke;Fiber;0;Vid og velstand;10;8;10;8;6;6;10;10;7;10;0;0;97;5;2;34;0;0;0;9;0;40;1;4;0;3;0;Gentofte
Fuldpakke;Fiber;1;Vid og velstand;9;5;9;5;2;5;7;9;7;8;0;0;34;0;1;1;0;0;0;12;0;8;5;5;0;9;0;Gentofte
Oevrige pakker;Fiber;0;Velhavere;7;6;6;6;6;2;10;9;5;10;0;0;36;12;1;6;1;0;0;9;1;3;0;0;0;1;1;Gentofte
Grundpakke;Fiber;0;Urban mangfoldighed;5;3;4;3;2;5;2;3;3;5;0;0;60;0;2;12;4;1;0;18;3;14;2;1;0;3;0;Gladsaxe
Fuldpakke;Fiber;0;Seniorer;9;8;8;6;7;9;10;9;6;9;0;0;191;0;16;20;21;18;0;32;13;11;16;41;0;1;0;Glostrup
Fuldpakke;Fiber;0;Velhavere;9;8;10;9;9;8;8;9;5;9;0;0;637;3;38;28;16;17;3;234;28;117;50;98;2;2;0;Glostrup
Grundpakke;Fiber;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;117;1;4;6;3;30;0;19;4;12;10;25;0;NULL;NULL;Herlev
Fuldpakke;Fiber;0;Velfunderede husejere;8;7;9;8;8;7;10;9;10;7;0;0;128;0;7;4;6;10;2;25;4;0;7;61;0;NULL;NULL;Hvidovre
Oevrige pakker;Fiber;0;Velfunderede husejere;9;7;8;8;10;10;9;10;6;8;0;0;126;3;4;35;4;21;0;8;1;8;14;22;3;2;0;Hvidovre
Fuldpakke;Fiber;0;Velfunderede husejere;8;7;1;8;9;9;7;9;8;6;0;0;197;0;6;16;3;27;2;30;7;13;8;85;0;NULL;NULL;Hvidovre
Fuldpakke;Fiber;0;Velfunderede husejere;9;9;10;8;9;8;10;9;7;8;0;0;436;0;32;14;13;121;0;129;22;38;31;31;0;NULL;NULL;Rødovre
Fuldpakke;Fiber;0;Komfort og hygge;9;6;5;5;5;8;8;7;9;8;0;0;113;16;6;18;9;5;0;17;5;9;4;18;2;14;0;Rødovre
Fuldpakke;Fiber;0;Velhavere;10;8;9;7;7;9;9;9;8;10;1;0;577;0;76;38;32;37;2;131;59;101;24;71;1;NULL;NULL;Furesø
Grundpakke;Fiber;0;Velhavere;10;9;7;10;8;8;10;10;9;10;1;0;185;0;36;13;4;5;0;76;10;8;7;18;2;2;0;Furesø
Grundpakke;Fiber;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;0;64;3;0;6;0;2;0;2;2;20;9;15;0;NULL;NULL;Allerød
Fuldpakke;Fiber;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;15;0;1;0;2;0;0;0;0;0;5;4;0;NULL;NULL;Allerød
Fuldpakke;Fiber;0;Velfunderede husejere;8;9;8;10;9;9;10;10;7;8;1;1;289;7;15;93;14;39;0;12;14;56;14;21;0;NULL;NULL;Allerød
Oevrige pakker;Fiber;0;Velfunderede husejere;10;5;6;9;6;9;10;10;10;10;0;0;54;0;3;8;0;0;0;16;3;5;5;10;0;NULL;NULL;Fredensborg
Fuldpakke;Fiber;0;Velfunderede husejere;4;8;10;10;9;9;10;8;8;1;0;0;84;7;8;13;3;3;0;8;7;21;6;1;3;9;0;Helsingør
Fuldpakke;Fiber;0;Velfunderede husejere;8;8;9;8;9;5;7;10;4;7;0;0;120;40;1;47;0;0;0;1;1;14;11;3;0;12;4;Helsingør
Fuldpakke;Fiber;0;Velhavere;10;9;6;9;9;9;10;9;9;10;0;0;641;17;22;100;15;8;3;39;22;85;55;267;3;1;0;Hørsholm
Fuldpakke;Fiber;0;Velhavere;10;9;9;8;8;8;10;10;8;10;0;0;54;0;7;15;1;0;0;4;4;10;1;8;0;NULL;NULL;Hørsholm
Fuldpakke;Fiber;0;Velfunderede husejere;10;9;10;10;9;8;10;10;4;10;0;0;116;65;2;7;0;0;10;1;2;14;1;8;2;NULL;NULL;Hørsholm
Oevrige pakker;Fiber;0;Velhavere;10;9;10;10;10;9;10;10;7;10;0;0;52;2;1;14;3;1;0;4;4;3;7;9;0;1;0;Hørsholm
Oevrige pakker;Fiber;0;Velhavere;10;8;4;7;6;6;10;10;10;8;0;0;62;0;5;17;3;8;0;6;1;10;6;3;0;NULL;NULL;Hørsholm
Oevrige pakker;Fiber;0;Velhavere;10;9;9;9;10;10;10;10;8;10;0;0;150;0;1;22;4;3;0;81;5;1;5;25;0;24;0;Hørsholm
Fuldpakke;Fiber;0;Velhavere;10;8;10;9;9;8;10;10;5;10;1;0;141;0;3;63;2;5;0;5;2;11;6;41;0;NULL;NULL;Hørsholm
Fuldpakke;Fiber;0;Velfunderede husejere;10;8;9;9;9;8;10;10;8;10;0;0;273;180;1;25;1;1;0;5;4;6;5;41;1;0;1;Hørsholm
Fuldpakke;Fiber;0;Velhavere;10;7;8;10;9;8;10;10;9;10;0;0;62;0;4;10;6;3;0;8;7;3;3;15;0;NULL;NULL;Rudersdal
Fuldpakke;Fiber;1;Velhavere;9;7;9;9;9;9;10;10;8;9;0;0;158;22;5;25;9;16;1;14;9;4;22;22;6;0;1;Rudersdal
Grundpakke;Fiber;0;Velhavere;10;7;10;9;9;9;10;10;4;10;0;0;51;1;7;12;2;0;0;4;3;2;1;15;0;NULL;NULL;Rudersdal
Fuldpakke;Fiber;0;Velhavere;10;10;7;7;10;10;10;9;9;10;0;0;186;0;12;1;8;2;0;114;12;26;5;4;0;NULL;NULL;Rudersdal
Fuldpakke;Fiber;0;Velhavere;10;8;10;7;5;10;10;10;8;10;0;0;129;3;15;25;3;2;0;4;17;20;33;5;0;NULL;NULL;Rudersdal
Fuldpakke;Fiber;1;Velhavere;10;9;10;10;7;8;10;10;6;10;0;0;265;5;23;69;13;10;0;24;12;43;25;37;1;1;0;Rudersdal
Grundpakke;Fiber;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;207;0;7;16;14;23;1;39;16;16;24;48;1;0;1;Greve
Grundpakke;Fiber;0;Livet på landet;7;9;9;8;6;10;10;9;6;8;0;0;73;1;12;5;8;8;0;14;4;9;5;3;0;3;0;Køge
Fuldpakke;Fiber;0;Velfunderede husejere;7;9;9;9;10;10;7;9;6;8;0;0;100;0;2;7;3;2;3;17;1;0;7;55;0;NULL;NULL;Roskilde
Fuldpakke;Fiber;0;Velfunderede husejere;9;7;9;7;8;7;6;9;3;7;0;0;149;1;16;23;3;36;0;6;4;9;3;46;0;NULL;NULL;Roskilde
Fuldpakke;Fiber;0;Komfort og hygge;9;9;3;5;9;9;5;8;4;6;0;0;180;1;5;46;11;37;3;18;5;4;19;25;1;3;0;Roskilde
Fuldpakke;Fiber;0;Velhavere;7;8;6;9;10;10;9;9;9;9;0;0;128;0;17;30;6;4;6;7;10;15;26;2;0;NULL;NULL;Roskilde
Fuldpakke;Fiber;0;Velhavere;10;10;8;9;8;8;9;9;7;10;0;0;241;117;6;7;8;11;0;52;2;4;2;28;0;NULL;NULL;Roskilde
